# Xnet spike
# origin=content://com.google.android.apps.nbu.files.provider | protocol=content: | secureContext=true | UA=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36

PASS  | localStorage | read/write ok
PASS  | indexedDB present | object present
PASS  | CompressionStream(gzip) | constructs
PASS  | DecompressionStream(gzip) | constructs
PASS  | crypto.getRandomValues | ok (TweetNaCl needs this)
PASS  | crypto.subtle (WebCrypto) | present
PASS  | RTCPeerConnection present | constructor present
PASS  | file input (QR photo/upload) | supported
…     | IndexedDB open | opening…
…     | storage.estimate() | …
…     | storage.persist() | …
…     | WebRTC data channel (loopback) | negotiating…
…     | STUN reachable (Google) | gathering…

PASS  | localStorage | read/write ok
PASS  | indexedDB present | object present
PASS  | CompressionStream(gzip) | constructs
PASS  | DecompressionStream(gzip) | constructs
PASS  | crypto.getRandomValues | ok (TweetNaCl needs this)
PASS  | crypto.subtle (WebCrypto) | present
PASS  | RTCPeerConnection present | constructor present
PASS  | file input (QR photo/upload) | supported
PASS  | IndexedDB open | open ok
PASS  | storage.estimate() | quota≈10240MB used≈0MB
FAIL  | storage.persist() | not granted
PASS  | WebRTC data channel (loopback) | channel open; msg=ping
PASS  | STUN reachable (Google) | srflx: public mapping obtained
