# Xnet spike
# origin=null | protocol=data: | secureContext=false | UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:151.0) Gecko/20100101 Firefox/151.0

FAIL  | localStorage | The operation is insecure.
PASS  | indexedDB present | object present
PASS  | CompressionStream(gzip) | constructs
PASS  | DecompressionStream(gzip) | constructs
PASS  | crypto.getRandomValues | ok (TweetNaCl needs this)
FAIL  | crypto.subtle (WebCrypto) | absent (expected on data:/insecure)
PASS  | RTCPeerConnection present | constructor present
PASS  | file input (QR photo/upload) | supported
…     | IndexedDB open | opening…
…     | storage.estimate() | …
…     | storage.persist() | …
…     | WebRTC data channel (loopback) | negotiating…
…     | STUN reachable (Google) | gathering…

FAIL  | localStorage | The operation is insecure.
PASS  | indexedDB present | object present
PASS  | CompressionStream(gzip) | constructs
PASS  | DecompressionStream(gzip) | constructs
PASS  | crypto.getRandomValues | ok (TweetNaCl needs this)
FAIL  | crypto.subtle (WebCrypto) | absent (expected on data:/insecure)
PASS  | RTCPeerConnection present | constructor present
PASS  | file input (QR photo/upload) | supported
FAIL  | IndexedDB open | IDBFactory.open: The operation is insecure
N/A   | storage.estimate() | API absent
N/A   | storage.persist() | API absent
PASS  | WebRTC data channel (loopback) | channel open; msg=ping
PASS  | STUN reachable (Google) | srflx: public mapping obtained
